,0,1
35-28.slack.smt2,0.057,sat
30-33.slack.smt2,0.099,sat
35-26.slack.smt2,0.06,sat
40-16.slack.smt2,0.044,sat
35-29.slack.smt2,0.04,sat
45-11.slack.smt2,0.039,sat
45-9.slack.smt2,0.036,sat
35-35.slack.smt2,0.055,sat
45-7.slack.smt2,0.038,sat
45-6.slack.smt2,0.031,sat
35-30.slack.smt2,0.058,sat
40-24.slack.smt2,0.049,sat
45-8.slack.smt2,0.042,sat
35-33.slack.smt2,0.044,sat
35-32.slack.smt2,0.063,sat
40-33.slack.smt2,0.058,sat
45-19.slack.smt2,0.042,sat
40-25.slack.smt2,0.039,sat
35-31.slack.smt2,0.055,sat
40-21.slack.smt2,0.036,sat
40-19.slack.smt2,0.031,sat
45-26.slack.smt2,0.043,sat
40-17.slack.smt2,0.037,sat
40-23.slack.smt2,0.047,sat
45-12.slack.smt2,0.029,sat
45-18.slack.smt2,0.03,sat
45-16.slack.smt2,0.04,sat
40-28.slack.smt2,0.048,sat
40-22.slack.smt2,0.04,sat
40-29.slack.smt2,0.043,sat
45-20.slack.smt2,0.041,sat
45-17.slack.smt2,0.03,sat
40-26.slack.smt2,0.036,sat
45-24.slack.smt2,0.037,sat
45-25.slack.smt2,0.042,sat
40-27.slack.smt2,0.043,sat
45-21.slack.smt2,0.039,sat
45-13.slack.smt2,0.036,sat
45-23.slack.smt2,0.034,sat
40-34.slack.smt2,0.043,sat
45-22.slack.smt2,0.051,sat
40-31.slack.smt2,0.053,sat
40-35.slack.smt2,0.036,sat
40-30.slack.smt2,0.038,sat
40-32.slack.smt2,0.221,sat
45-30.slack.smt2,0.04,sat
45-35.slack.smt2,0.041,sat
45-29.slack.smt2,0.043,sat
45-34.slack.smt2,0.054,sat
45-27.slack.smt2,0.043,sat
45-28.slack.smt2,0.041,sat
45-31.slack.smt2,0.031,sat
45-32.slack.smt2,0.053,sat
45-33.slack.smt2,0.046,sat
